Ice Shelf Name,Lat (o),Lon (o),Area
Larsen G,-74.6,-61.76,412.07
Larsen F,-74.07,-61.23,827.833
Larsen E,-73.4,-61.08,1184.3891
Larsen D,-70.7,-61.72,22548.08
Larsen C,-67.46,-62.73,46465.49
Larsen B,-65.55,-61.42,6754.5
Wordie,-69.25,-67.3,276.85
Wilkins,-70.49,-72.07,12866.06
Bach,-72.04,-72.1,4578.5
George VI,-72.35,-69.62,23433.8
Stange,-73.22,-76.67,8027.2
Ronne,-78.45,-63.51,338886.5
Ferrigno,-73.63,-83.57,117.4
Venable,-73.09,-87.19,3193.8
Abbot,-72.79,-96.37,29688
Cosgrove,-73.53,-100.46,3033.4
Pine Island,-74.93,-100.72,6249.4
Thwaites,-75.07,-106.41,5499.02
Crosson,-75,-110.37,3229.2
Dotson,-74.62,-112.75,5802.5
Getz,-74.41,-124.38,34018.0712
Land,-75.59,-141.41,639.983
Nickerson,-75.8,-145.81,6495.3
Sulzberger,-77.09,-148.9,12333.2
Swinburne,-77.35,-153,899.866
Withrow,-77.17,-157.08,631.779
Ross West,-80.82,-167.92,306104.618
Ross East,-80.48,171.89,194703.9
Drygalski,-75.39,163.37,2337.956
Nansen,-74.85,163.25,1985.08
Aviator,-73.91,165.44,785.2
Mariner,-73.32,168.08,2705.41
Lillie,-70.79,164,769.711
Rennick,-70.73,161.78,3272.9
Cook,-68.56,152.74,3461.5
Ninnis,-68.26,147.54,1899.4
Mertz,-67.26,145.35,5522.4
Dibble,-66.24,134.74,1481.55
Holmes,-66.78,127.22,1921.2
Moscow University,-67.01,120.27,5797.6
Totten,-67.06,115.7,6032.32
Vincennes,-66.72,109.95,934.96
Conger/Glenzer,-65.78,103.41,1547.1
Tracy/Tremenchus,-65.86,101.21,2844.7
Shackleton,-65.98,97.52,26079.656
West,-66.95,85,15665.56
Publications,-69.76,75.16,1551.27
Amery,-70.38,70.43,60654
Wilma/Robert/Downer,-67.03,56.6,857.53
Edward VIII,-66.73,56.43,411.3
Rayner/Thyer,-67.73,48.45,640.737
Shirase,-69.95,38.55,820.62
Prince Harald,-69.36,36.19,5391.55
Baudouin,-70.06,28.89,32951.8
Borchgrevink,-70.26,19.81,21579.8
Lazarev,-69.93,14.47,8519.48
Nivl,-70.29,11.11,7284.9557
Vigrid,-70.24,8.38,2088.6
Fimbul,-70.36,-0.43,40843.4
Jelbart,-70.88,-4.66,10843.8
Atka,-70.63,-6.88,1969.1
Ekstrom,-71.04,-8.62,6872
Quar,-71.23,-10.91,2155.6
Riiser-Larsen,-73.13,-16.48,43450.01
Brunt/Stancomb,-74.93,-22.61,36893.98
Filchner,-80.28,-42.29,104253.3
Mendelssohn,-71.3,-72.76,471.337
Brahms,-71.47,-73.64,238.161
Verdi,-71.6,-74.49,110.601
Hull,-75.09,-136.89,210.824
Richter,-77.09,204.58,99.4619
Hamilton,-77.51,202.09,183.672
Moubray,-71.95,170.4,151.677
Tucker,-72.64,169.7,443.365
Dennistoun,-71.18,168.05,88.0504
SmithInlet,-70.99,167.58,92.9502
Wylde,-73.62,166.84,124.279
Fitzgerald,-73.68,166.44,316.159
Tinker,-74.1,165.02,110.538
Campbell,-74.62,164.42,71.1901
HarbordGlacier,-75.93,162.76,62.8208
Cheetham,-75.75,162.73,98.8261
GeikieInlet,-75.58,162.63,273.471
Nordenskjold,-76.2,162.58,236.545
Suvorov,-69.96,160.4,216.277
Gillet,-69.56,159.71,123.939
Noll,-69.41,159.07,108.881
Matusevitch,-69.22,157.36,517.311
Slava,-68.75,154.87,275.682
PourquoiPas,-66.23,135.72,188.818
Frost,-67.07,128.54,172.08
HolmesWest,-66.36,126.24,340.072
Voyeykov,-66.63,124.52,671.106
Underwood,-66.7,107.88,161.995
Helen,-66.64,93.88,290.611
Utsikkar,-67.54,61.25,92.2136
Mulebreen,-67.47,59.35,297.108
Myers,-67.21,49.81,103.162
Zubchatyy,-67.24,49.03,269.43
Hannan,-67.52,47.39,212.079
