# Extracted from publicly available Derived Data for years 2014-2016 here:
# https://research.repository.duke.edu/concern/datasets/gt54kn51j?locale=en
# on March 22, 2021
longitude,latitude
-44.7,60.2036
-44.5,60.174
-44.3,60.1444
-44.1,60.1148
-43.8826,60.097
-43.6477,60.091
-43.4128,60.0849
-43.1779,60.0789
-42.943,60.0729
-42.7126,60.0588
-42.514,60.0392
-42.3169,60.0184
-42.1157,59.9971
-41.9544,59.9805
-41.8111,59.9655
-41.6641,59.95
-41.5131,59.9343
-41.3562,59.9206
-41.1933,59.9089
-41.0061,59.892
-40.7946,59.8701
-40.5858,59.848
-40.3796,59.8259
-40.168,59.8028
-39.951,59.7788
-39.7555,59.7578
-39.5815,59.7398
-39.4074,59.7218
-39.2261,59.7045
-39.0374,59.688
-38.8487,59.6714
-38.66,59.6549
-38.4699,59.6379
-38.2783,59.6205
-38.0866,59.6032
-37.895,59.5858
-37.6777,59.5606
-37.4346,59.5277
-37.1916,59.4947
-36.9486,59.4618
-36.7055,59.4288
-36.4625,59.3959
-36.2195,59.363
-35.9764,59.33
-35.7334,59.2971
-35.4904,59.2641
-35.2473,59.2312
-35.0055,59.205
-34.7649,59.1857
-34.5243,59.1664
-34.2837,59.1471
-34.0431,59.1278
-33.8025,59.1085
-33.5765,59.0969
-33.3649,59.0931
-33.1363,59.0735
-32.8904,59.0382
-32.6661,59.0146
-32.4634,59.0027
-32.2607,58.9908
-32.0592,58.9702
-31.8589,58.9484
-31.6586,58.9341
-31.4946,58.9166
-31.3669,58.8957
-31.2067,58.8837
-31.0141,58.8804
-30.8214,58.8771
-30.6288,58.8738
-30.4286,58.8407
-30.2207,58.7777
-30.0079,58.711
-29.7903,58.6407
-29.5725,58.5704
-29.3562,58.4972
-29.1412,58.4211
-28.9262,58.345
-28.719,58.2733
-28.5198,58.206
-28.3204,58.1387
-28.1211,58.0714
-27.9161,58.0349
-27.7054,58.0293
-27.4946,58.0237
-27.2839,58.0181
-27.0732,58.0125
-26.8524,58.0098
-26.6216,58.0101
-26.3907,58.0104
-26.1599,58.0107
-25.9291,58.011
-25.6982,58.0112
-25.4674,58.0115
-25.2366,58.0118
-25.0058,58.0121
-24.7749,58.0124
-24.5441,58.0127
-24.3114,58.0121
-24.0767,58.0106
-23.8421,58.0092
-23.6074,58.0078
-23.3727,58.0063
-23.1381,58.0049
-22.9034,58.0035
-22.6688,58.002
-22.4341,58.0006
-22.1995,57.9992
-21.9648,57.9977
-21.7301,57.9963
-21.4955,57.9949
-21.2608,57.9934
-21.0196,57.9928
-20.7718,57.9931
-20.5239,57.9934
-20.2761,57.9937
-20.0283,57.994
-19.7805,57.9942
-19.5326,57.9945
-19.2848,57.9948
-19.037,57.9951
-18.7891,57.9954
-18.5413,57.9956
-18.2935,57.9959
-18.0457,57.9962
-17.7978,57.9965
-17.55,57.9968
-17.3022,57.9971
-17.0544,57.9973
-16.8065,57.9976
-16.5587,57.9979
-16.3109,57.9982
-16.063,57.9985
-15.8152,57.9987
-15.5674,57.999
-15.3196,57.9993
-15.0717,57.9996
-14.8239,57.9999
-14.5892,57.9706
-14.3675,57.9118
-14.1458,57.853
-13.9242,57.7942
-13.7025,57.7354
-13.4808,57.6765
-13.2592,57.6177
-13.0375,57.5589
-12.8158,57.5001
-12.6116,57.4706
-12.4247,57.4704
-12.2152,57.4548
-11.9833,57.4239
-11.7514,57.393
-11.5194,57.3621
-11.2875,57.3312
-11.0556,57.3003
-10.8236,57.2693
-10.5917,57.2384
-10.3598,57.2075
-10.1278,57.1766
-9.8959,57.1457
-9.66397,57.1148
-9.4433,57.1017
-9.21936,57.0824
-8.98089,57.0393
-8.74242,56.9961
-8.50395,56.953
-8.26548,56.9099
-8.02701,56.8667
-7.78854,56.8236
-7.55006,56.7804
-7.31159,56.7373
-7.07312,56.6941
-6.83465,56.651
-6.59618,56.6079
-6.35771,56.5647
-6.11924,56.5216
